price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,yr_built
300000,3,1,1380,12000,1,0,1963
350000,5,3,2320,8400,1,0,1963
225000,3,1,1660,7210,1,0,1963
206000,3,1,920,8400,1,0,1963
371500,3,2,1370,8336,1,0,1964
500000,2,1,1280,5400,1,0,1964
345000,3,1,1250,7210,1,0,1964
538200,4,3,1780,7260,1,0,1964
519500,4,2,1540,17859,1,0,1964
199000,3,1,1390,12145,1,0,1964
400000,4,2,1560,8250,1,0,1964
500000,3,1,1800,7200,1,0,1964
280000,3,2,1780,11342,1,0,1964
269950,4,1,1440,9600,1,0,1964
858000,5,3,3620,12778,1,0,1964
354800,3,2,1370,78408,1,0,1964
350000,3,1,1180,7455,1,0,1964
400000,3,2,1350,7216,1,0,1964
333000,3,1,1620,5040,1,0,1964
532000,3,1,2360,5012,1,0,1964
453000,3,2,1430,9583,1,0,1964
485000,3,1,1250,7200,1,0,1964
305000,6,2,1900,8240,1,0,1964
649950,6,2,1900,8240,1,0,1964
215000,3,1,1280,9775,1,0,1964
624800,3,2,2250,14274,1,0,1964
545000,4,2,5461,22880,1,0,1964
295000,4,3,2120,7650,2,0,1964
810000,4,2,2920,10424,1,0,1964
194000,3,1,1400,7955,1,0,1964
415885,3,1,1310,4163,1,0,1964
329000,3,1,1600,5952,1,0,1964
145000,2,1,800,8125,1,0,1964
725000,3,2,1550,12262,1,0,1964
435000,3,2,2360,12744,2,0,1964
295000,4,2,1650,7200,1,0,1964
346000,5,1,1790,30456,1,0,1964
255000,3,1,1430,12420,1,0,1964
277000,4,1,1450,6250,1,0,1964
472500,3,2,1790,6800,1,0,1964
855000,4,3,2590,6250,2,0,1964
570000,3,2,1930,10929,1,0,1964
282500,4,1,1650,9750,1,0,1964
580000,5,2,2290,7125,1,0,1964
399950,5,2,2760,6420,1,0,1964
813500,4,2,2530,15520,1,0,1964
970000,5,3,3480,15185,2,0,1964
765000,5,3,2870,5700,1,0,1964
255950,4,1,1500,11050,1,0,1964
500000,3,1,940,10360,1,0,1964
675000,4,3,2400,3340,1,0,1964
495000,3,2,2660,192099,1,0,1964
604000,4,3,1960,5000,1,0,1965
180000,3,1,1384,8960,1,0,1965
250000,3,2,1440,9220,1,0,1965
399000,5,2,2620,7030,1,0,1965
173000,2,1,820,10450,1,0,1965
354000,3,1,940,10368,1,0,1965
221000,3,1,1250,7280,1,0,1965
152000,3,1,902,10464,1,0,1965
565000,3,3,2110,4000,1,0,1965
335000,3,1,1380,7470,1,0,1965
230000,3,1,1120,7500,1,0,1965
165000,3,1,970,6600,1,0,1965
330000,4,2,1180,7275,1,0,1965
416500,3,1,1100,4184,1,0,1965
627000,3,2,2310,10525,2,0,1965
354000,3,1,1130,11250,1,0,1965
355000,2,1,1450,9150,1,0,1965
650000,2,1,1280,6000,1,0,1965
554820,4,2,3510,12905,1,0,1965
300000,4,2,1580,9600,1,0,1965
255000,3,1,1440,11330,1,0,1965
445000,4,2,1470,8395,1,0,1965
300000,3,2,1550,8300,1,0,1965
530000,3,2,3080,17700,1,0,1965
405000,3,2,1440,7425,1,0,1965
510000,3,2,1410,11995,1,0,1965
197400,3,2,1610,7575,1,0,1965
513000,5,2,2270,8652,1,0,1965
370000,3,1,1170,1105,1,0,1965
447000,3,1,1220,7200,1,0,1965
605000,6,2,2610,9132,1,0,1965
360000,3,1,1160,10988,1,0,1965
600000,5,2,2190,9072,1,0,1965
233000,3,1,1980,8505,1,0,1965
225000,3,1,1250,10200,1,0,1965
475000,4,3,2400,5400,2,0,1965
360000,4,2,2680,18768,1,0,1965
205000,3,1,1230,8750,1,0,1965
287000,3,1,1250,26862,1,0,1965
424000,4,2,2100,4857,2,0,1965
255500,2,1,1440,43560,1,0,1965
210490,3,1,990,8528,1,0,1966
342000,3,2,1930,11947,1,0,1966
196500,3,1,1320,9000,1,0,1966
225000,4,2,2220,14120,1,0,1966
240000,3,1,1260,7920,1,0,1966
176250,4,2,1440,6702,1,0,1966
550000,4,2,1660,12377,1,0,1966
295450,3,2,2030,17120,1,0,1966
207500,3,1,1170,8816,1,0,1966
222000,3,1,990,8840,1,0,1966
576750,3,2,2220,5000,1,0,1966
335000,3,1,980,9903,1,0,1966
346150,3,2,2140,7200,1,0,1966
530000,4,2,2150,14161,1,0,1966
190000,3,1,1180,8775,1,0,1966
325000,3,1,1600,7500,1,0,1966
658000,3,1,1290,12005,1,0,1966
395000,3,2,1590,10229,1,0,1966
154950,4,1,1600,10183,1,0,1966
415000,6,2,2500,5200,1,0,1966
217000,3,1,1110,9827,1,0,1966
225000,3,1,990,8012,1,0,1966
295000,3,2,1380,8682,1,0,1966
710000,4,3,2750,7500,1,0,1966
525000,4,2,2680,14157,1,0,1966
200000,4,1,1350,11507,1,0,1966
250000,3,2,1900,6660,1,0,1966
170000,4,1,1920,13787,1,0,1966
230000,3,1,1640,7187,1,0,1966
585888,3,2,1490,7431,1,0,1966
550388,3,3,1720,70567,1,0,1966
260750,3,2,1560,9635,1,0,1966
246600,4,1,1340,8400,1,0,1966
326000,6,3,1880,7200,1,0,1966
315500,3,1,1160,10500,1,0,1966
325000,3,1,1160,11799,1,0,1966
185000,4,1,1760,8906,1,0,1966
365000,4,1,1760,8906,1,0,1966
325000,4,2,1870,7700,1,0,1966
420000,3,1,1060,7638,1,0,1966
221000,3,1,910,8789,1,0,1966
242000,4,1,2240,7620,1,0,1966
225000,3,1,1290,8470,1,0,1966
280000,5,2,2110,7919,1,0,1966
240000,2,1,1320,24319,1,0,1966
348580,3,1,1220,7876,1,0,1966
235000,3,1,2230,8163,1,0,1966
383000,4,2,1830,21183,1,0,1966
342500,3,1,940,10500,1,0,1966
160000,3,1,880,8976,1,0,1966
324450,3,2,1420,16000,1,0,1966
349950,3,1,1060,9525,1,0,1966
150000,3,1,1010,25000,1,0,1966
650000,4,2,1610,8976,1,0,1966
199000,3,1,1510,9100,1,0,1966
517000,4,1,1650,8250,1,0,1966
360000,3,1,1120,10500,1,0,1966
312000,4,2,1890,8362,1,0,1966
568000,4,2,2340,50233,1,0,1966
526000,4,2,1610,8000,1,0,1966
192500,3,1,1100,9750,1,0,1966
215000,3,1,1180,7669,1,0,1967
210000,3,1,1700,11390,1,0,1967
396000,3,1,1500,12616,1,0,1967
305000,3,1,1160,9750,1,0,1967
305000,3,1,1250,23680,1,0,1967
270000,3,2,1560,8853,1,0,1967
980000,4,3,3680,5854,1,0,1967
269000,3,1,1690,4250,1,0,1967
460000,3,3,1520,7500,1,0,1967
533000,3,1,1670,4080,1,0,1967
255000,3,1,1180,13650,1,0,1967
432000,4,1,1750,12528,1,0,1967
290000,3,1,1440,11250,1,0,1967
205000,4,2,1450,8175,1,0,1967
208000,3,1,1020,6120,1,0,1967
230000,4,2,1440,10800,1,0,1967
355000,3,1,940,8512,1,0,1967
525000,3,2,1600,16530,1,0,1967
872000,4,4,3770,9750,1,0,1967
190000,3,1,1090,8520,1,0,1967
310000,3,1,990,7050,1,0,1967
350500,2,1,1450,6380,1,0,1967
210000,3,1,1030,4583,1,0,1967
425000,4,2,1520,7983,1,0,1967
195000,3,1,1070,22489,1,0,1967
201700,3,1,1010,9576,1,0,1967
314950,3,1,1590,8470,1,0,1967
246700,3,2,1610,13309,1,0,1967
514000,3,2,1770,7200,1,0,1967
369950,3,1,1110,7603,1,0,1967
219000,3,1,970,7790,1,0,1967
710000,3,2,1780,9732,1,0,1967
294700,3,2,1970,9600,1,0,1967
215000,4,2,1470,7000,1,0,1967
304000,4,2,1810,8750,1,0,1967
230000,3,1,1140,9639,1,0,1967
235000,3,1,1330,45738,2,0,1967
407450,3,2,1810,10860,1,0,1967
480000,3,2,1460,7860,1,0,1967
215000,3,1,960,9563,1,0,1967
319000,3,2,1640,9234,1,0,1967
350000,3,1,1010,7680,1,0,1967
519900,4,2,1820,9350,1,0,1967
258000,4,3,2710,7199,1,0,1967
239000,3,1,1200,7810,1,0,1967
219900,3,1,970,7742,1,0,1967
200000,3,1,1050,5000,1,0,1967
415000,4,2,1610,9600,1,0,1967
610000,4,3,2450,10117,1,0,1967
204700,4,2,1670,9987,1,0,1967
250000,3,1,1520,7800,1,0,1967
209950,3,1,970,9583,1,0,1967
350000,3,1,2010,6000,1,0,1967
380000,3,1,1160,9375,1,0,1967
255000,3,1,1140,8528,1,0,1967
251000,3,2,1300,8400,1,0,1967
612500,4,2,1690,35346,1,0,1967
300000,3,1,2120,7735,1,0,1967
315000,3,2,1500,7828,1,0,1967
400000,3,2,1760,6875,1,0,1967
465000,3,2,1560,8640,1,0,1967
245000,4,2,1580,8000,1,0,1967
132500,3,1,1080,10500,1,0,1967
335000,3,2,1490,8847,1,0,1967
230000,3,1,1020,12289,1,0,1967
599950,5,3,2600,13674,1,0,1967
326250,3,1,1060,9663,1,0,1967
375000,3,1,980,7296,1,0,1967
300000,4,2,2050,8750,1,0,1967
267500,3,1,1090,22080,1,0,1967
234950,4,2,1450,7560,1,0,1967
175000,3,1,1070,6164,1,0,1967
250000,4,2,1470,7412,1,0,1967
230000,3,1,880,9035,1,0,1967
175000,3,1,1480,8415,1,0,1967
335000,3,1,1060,10050,1,0,1967
129000,1,1,650,15364,1,0,1967
230000,5,1,1410,9000,1,0,1967
165000,3,1,970,7503,1,0,1967
450000,4,3,1890,13140,1,0,1967
297950,3,2,1240,10800,1,0,1967
206000,3,1,1320,7000,1,0,1967
330000,3,1,1160,9600,1,0,1967
229500,3,1,1230,6000,1,0,1967
330000,4,2,1590,9100,1,0,1967
275000,3,2,1540,10410,1,0,1967
268000,4,2,1930,6600,1,0,1967
205000,3,1,1180,8240,1,0,1967
450000,3,2,1680,11250,1,0,1967
218250,3,1,1270,7344,1,0,1967
225000,3,1,1250,7820,1,0,1967
215000,3,1,1200,7280,1,0,1967
215000,2,1,1240,7200,1,0,1967
204000,3,1,1000,12070,1,0,1968
940000,4,2,2490,9525,2,0,1968
226000,3,1,970,5000,1,0,1968
718000,5,3,3070,9804,1,0,1968
235000,3,1,1170,11100,1,0,1968
389000,3,1,1280,9630,1,0,1968
830000,5,3,3040,9601,1,0,1968
150000,3,1,1250,7210,1,0,1968
133000,3,1,980,9115,1,0,1968
322000,3,1,1230,9660,1,0,1968
380000,6,2,1870,6969,1,0,1968
290000,4,2,1660,4788,1,0,1968
169575,3,1,1300,8284,1,0,1968
250000,3,1,1300,8284,1,0,1968
190000,3,1,910,10575,1,0,1968
254600,3,2,1470,20000,1,0,1968
485000,5,2,1910,5508,1,0,1968
830000,4,3,2020,6000,1,0,1968
555000,3,2,2240,11250,1,0,1968
207500,3,1,1640,9750,1,0,1968
222000,3,2,1200,6074,1,0,1968
213500,3,1,1220,6000,1,0,1968
439000,4,2,1560,7500,1,0,1968
326500,3,1,1060,7920,1,0,1968
210000,4,1,1200,43560,1,0,1968
340000,3,1,670,23522,1,0,1968
322500,3,1,1160,9750,1,0,1968
406430,3,2,1380,15426,1,0,1968
241500,3,1,1400,10425,1,0,1968
227500,3,1,1150,8848,1,0,1968
335000,3,1,950,8000,1,0,1968
625700,3,2,2570,159865,1,0,1968
554000,2,1,820,3700,1,0,1968
229900,3,1,1010,8848,1,0,1968
560000,3,2,1840,14985,1,0,1968
248000,3,1,1180,6947,1,0,1968
234000,3,1,1010,8906,1,0,1968
253000,3,1,1400,9750,1,0,1968
198000,3,1,860,5185,1,0,1968
225000,3,2,1460,7740,1,0,1968
510000,3,2,1850,9600,1,0,1968
395000,4,1,1980,10350,1,0,1968
237000,3,2,1710,7920,1,0,1968
860000,3,2,1880,8494,1,0,1968
305000,3,1,1160,11776,1,0,1968
450000,4,3,2200,4466,2,0,1968
347000,3,1,1010,7200,1,0,1968
249000,3,1,1000,19204,1,0,1968
290000,3,1,960,4560,1,0,1968
333760,3,1,1300,5880,1,0,1968
708000,5,2,3180,10800,1,0,1968
226500,3,2,1560,7000,1,0,1968
148226,3,1,1400,7360,1,0,1968
313000,3,1,1510,10369,1,0,1968
205000,3,1,1010,8800,1,0,1968
213950,3,1,1430,7000,1,0,1968
375000,3,2,1670,13775,1,0,1968
215000,3,1,1190,7500,1,0,1968
233000,4,2,2130,9579,1,0,1968
815000,3,2,2270,11989,1,0,1968
410000,3,2,1270,10227,1,0,1968
206000,3,1,1320,9239,1,0,1968
335500,5,3,2240,19090,1,0,1968
172000,3,1,1340,10260,1,0,1968
184000,3,1,970,14850,1,0,1968
309500,3,1,1250,7320,1,0,1968
498000,3,2,1620,8400,1,0,1968
320000,3,2,1250,8636,1,0,1968
300000,3,1,1260,5000,1,0,1968
529950,3,2,1540,8400,1,0,1968
450000,3,1,1540,9028,1,0,1968
325000,3,1,1160,9525,1,0,1968
240000,3,2,1460,7526,1,0,1968
368000,3,1,1280,9898,1,0,1968
450000,3,1,1290,47044,1,0,1968
305000,2,1,2160,12960,1,0,1968
675000,5,3,3410,9600,1,0,1968
314950,3,1,1040,16986,1,0,1968
309000,4,2,2240,9240,1,0,1968
294950,3,1,1160,8950,1,0,1968
210000,2,1,970,8874,1,0,1968
421000,3,2,1420,12655,1,0,1968
175000,2,1,1410,7000,1,0,1968
335000,2,1,1410,7000,1,0,1968
268300,3,1,1190,9000,1,0,1968
650000,6,3,2960,5000,1,0,1968
229900,3,1,1440,11925,1,0,1968
315000,3,1,1160,9180,1,0,1968
249500,3,1,1180,7200,1,0,1968
360000,4,2,1630,10375,1,0,1968
400000,4,2,2060,3060,2,0,1968
355500,5,2,2360,19899,1,0,1968
367000,3,1,810,7000,1,0,1968
305000,4,1,2100,9288,1,0,1968
420000,3,1,1240,7300,1,0,1968
275000,3,1,990,9798,1,0,1968
499900,4,3,2180,12196,2,0,1968
347000,3,1,940,9198,1,0,1968
269500,2,1,1140,74052,1,0,1968
447000,3,1,1270,8800,1,0,1968
592500,4,3,2170,8240,1,0,1968
253400,3,2,1400,8640,1,0,1968
382880,3,2,1620,9566,1,0,1968
252000,3,1,1170,9730,1,0,1968
319000,3,1,1390,12823,1,0,1968
280000,3,1,1310,22652,1,0,1968
455000,4,2,2120,9442,1,0,1968
270000,3,1,1500,13500,1,0,1968
110000,2,1,828,4524,1,0,1968
230000,3,1,1250,9774,1,0,1969
240000,4,1,1220,8075,1,0,1969
478500,3,1,2090,4755,1,0,1969
215000,4,1,1130,7400,1,0,1969
254000,3,2,2070,9000,1,0,1969
399950,3,1,1020,18050,1,0,1969
385000,4,2,1850,11700,1,0,1969
180000,3,1,870,5330,1,0,1969
150000,3,1,1240,5200,1,0,1969
225000,3,1,1200,9936,1,0,1969
360000,4,2,1850,8827,1,0,1969
143000,3,1,1090,3315,1,0,1969
315500,3,1,1300,12600,1,0,1969
240000,3,1,1470,7350,1,0,1969
209000,2,1,840,5265,1,0,1969
210000,3,1,1230,12201,1,0,1969
203000,3,1,840,6500,1,0,1969
340000,3,1,3180,27586,1,0,1969
419000,4,2,2180,10447,1,0,1969
265000,3,1,1000,9150,1,0,1969
339888,3,1,1040,7490,1,0,1969
192950,3,1,1170,3330,2,0,1969
220000,4,2,1400,7140,1,0,1969
186000,3,1,1200,10080,1,0,1969
195000,3,1,1070,7615,1,0,1969
169000,3,1,910,7686,1,0,1969
199990,3,1,840,5200,1,0,1969
179000,3,1,920,5200,1,0,1969
310000,5,2,2900,11970,2,0,1969
216500,2,1,1060,5200,1,0,1969
89000,3,1,900,4750,1,0,1969
455000,5,2,1870,13970,1,0,1969
178000,3,1,840,6500,1,0,1969
176000,2,1,770,5200,1,0,1969
149000,3,1,1090,2800,1,0,1969
260656,3,1,1620,13803,1,0,1969
339900,3,1,1200,9087,1,0,1969
258000,3,1,1490,7435,1,0,1969
152000,3,1,1090,3264,1,0,1969
330000,3,1,1250,9126,1,0,1969
306000,3,1,1450,7200,1,0,1969
189000,3,1,860,5200,1,0,1969
279000,4,2,1980,10051,1,0,1969
367500,3,1,1270,8792,1,0,1969
386000,3,2,1330,8100,1,0,1969
320000,3,1,1120,10576,1,0,1969
260000,3,2,1920,8075,1,0,1969
220000,3,1,1230,9720,1,0,1969
308000,2,1,1680,9250,1,0,1969
201000,3,1,980,9682,1,0,1969
306000,3,2,1160,7217,1,0,1969
202000,3,1,1010,9750,1,0,1969
128000,2,1,980,5393,1,0,1969
350000,3,1,1250,9786,1,0,1969
180000,3,1,1280,4875,1,0,1969
525000,3,2,1620,7800,1,0,1969
209000,3,1,920,5200,1,0,1969
201000,3,1,1460,9750,1,0,1969
215000,3,1,1160,10384,1,0,1969
432000,3,2,1870,7080,1,0,1969
535000,4,2,1970,3515,1,0,1969
385000,6,4,2700,7416,1,0,1969
422500,3,1,1270,8920,1,0,1969
399950,4,3,2150,64694,1,0,1969
335000,4,2,2030,103672,1,0,1969
215150,3,1,920,4770,1,0,1969
146000,3,1,900,4770,1,0,1969
360000,6,2,2210,9870,2,0,1969
307500,3,1,980,6530,1,0,1969
191000,3,1,840,5525,1,0,1969
225500,3,1,1100,5200,1,0,1969
330000,3,1,1070,10563,1,0,1969
372000,3,1,2298,10140,1,0,1969
202950,2,1,1060,5144,1,0,1969
275000,3,1,1000,8018,1,0,1969
325000,2,1,1050,4800,1,0,1969
350000,3,1,2480,8906,1,0,1969
199950,3,1,1010,7245,1,0,1969
168500,3,1,1100,10125,1,0,1969
280000,3,1,1720,9605,1,0,1969
326000,3,1,1030,9834,1,0,1969
177000,3,1,870,5200,1,0,1969
402000,3,2,1720,7704,1,0,1969
128000,3,1,1400,9690,1,0,1969
265000,3,1,1010,14948,1,0,1969
435000,3,2,1270,10713,1,0,1969
330000,3,1,910,10240,1,0,1969
436000,5,3,2720,9856,2,0,1969
475000,4,3,2410,8284,1,0,1969
400000,3,1,1180,7537,1,0,1969
215000,3,1,1690,7700,1,0,1969
185000,2,1,1390,11340,1,0,1969
255000,3,1,1170,7395,1,0,1969
437500,3,1,1630,16393,1,0,1969
397000,3,2,1100,9165,1,0,1969
152500,3,1,1090,3523,1,0,1969
189950,3,1,920,6460,1,0,1969
270000,3,1,1010,9514,1,0,1969
179950,3,1,920,4875,1,0,1969
183000,3,1,870,5200,1,0,1969
390000,3,2,1930,12443,1,0,1969
957000,4,3,2370,3836,2,0,1969
217000,3,1,870,5200,1,0,1969
160000,4,1,1540,7350,1,0,1969
270000,3,2,1690,9583,1,0,1969
301500,3,1,1410,7419,1,0,1969
330000,3,1,960,7218,1,0,1969
405000,3,2,1450,6081,1,0,1969
465000,3,2,1560,8509,1,0,1969
515000,4,3,1820,8261,1,0,1969
90000,3,1,980,2490,2,0,1969
225000,3,2,1100,5200,1,0,1969
299000,3,1,1040,9514,1,0,1969
400000,3,1,1060,12690,1,0,1969
374500,3,1,960,9531,1,0,1969
205000,3,1,1370,10708,1,0,1969
351000,4,1,1430,8400,1,0,1969
344000,3,1,1150,12402,1,0,1969
185000,4,1,1490,6600,1,0,1969
345000,3,1,1250,17380,1,0,1970
326500,3,1,1810,12375,2,0,1970
750000,2,2,2370,155130,1,0,1970
670000,6,3,4050,36171,2,0,1970
215000,3,1,970,7275,1,0,1970
490000,3,2,2370,12196,2,0,1970
290000,3,2,1810,11456,1,0,1970
232000,3,1,840,6540,1,0,1970
410000,4,1,1140,7208,1,0,1970
329000,3,1,900,9600,1,0,1970
203000,3,1,920,7500,1,0,1970
235000,3,2,1530,8700,1,0,1970
243000,3,1,1500,6600,1,0,1970
245000,3,2,1850,8208,1,0,1970
920000,6,3,3300,4218,2,0,1970
137124,3,1,960,27442,1,0,1970
200000,3,1,1150,10132,1,0,1970
169950,3,1,1180,9832,1,0,1970
259875,3,1,1250,21303,1,0,1970
385000,3,1,1250,21303,1,0,1970
355000,3,1,1200,16000,1,0,1970
215000,3,1,1180,9000,1,0,1970
775000,5,2,3540,9970,2,0,1970
417400,3,3,2680,12285,1,0,1970
230000,3,1,1250,9035,1,0,1970
105000,3,1,880,18109,1,0,1970
325000,3,1,1150,7486,1,0,1970
174950,3,1,1060,5200,1,0,1970
335000,3,1,990,6315,1,0,1970
825000,4,3,2910,8027,1,0,1970
205000,4,1,1340,7920,1,0,1970
318000,3,1,1250,20040,1,0,1970
240000,3,2,1030,11118,1,0,1970
350000,3,1,1150,12877,1,0,1970
315000,3,2,1220,14645,1,0,1970
454000,3,1,1970,22144,1,0,1970
393000,5,2,1820,5054,1,0,1970
205950,3,1,970,11963,1,0,1970
320000,3,1,1260,9600,1,0,1970
356000,3,1,920,3863,1,0,1970
397000,4,2,1440,7680,1,0,1971
204000,3,1,1040,7405,1,0,1971
175000,3,1,1250,9775,1,0,1971
194000,3,1,1070,6440,1,0,1971
234000,3,1,1040,8122,1,0,1971
320000,2,1,900,7620,1,0,1971
320000,3,1,1330,9540,1,0,1971
278500,4,1,1540,8400,1,0,1971
415000,3,1,1360,73616,1,0,1971
385000,3,1,1070,4000,1,0,1971
219950,3,1,1300,9620,1,0,1971
350000,3,1,1300,10236,1,0,1971
540000,2,1,1120,7500,1,0,1971
460000,4,2,1960,190357,1,0,1971
354900,3,1,1720,16552,1,0,1971
730000,5,3,2500,11779,1,0,1971
305000,3,1,910,8008,1,0,1971
516000,3,3,2330,7304,1,0,1971
510000,3,2,1990,7405,1,0,1971
310000,4,1,1030,5750,1,0,1971
350000,4,2,1720,7210,1,0,1971
560000,3,2,2340,3477,1,0,1971
315000,3,2,1660,11135,1,0,1971
374000,3,1,1200,9800,1,0,1971
765000,3,2,1570,7000,2,0,1971
244000,3,1,910,5250,1,0,1971
547000,5,3,2200,103237,1,0,1971
275000,3,2,1380,3500,2,0,1971
290000,3,1,910,7620,1,0,1971
380500,3,1,1410,7854,1,0,1971
455000,3,2,1640,9825,1,0,1971
182500,3,1,910,7194,1,0,1971
300000,3,1,910,7700,1,0,1971
185000,3,1,1010,6400,1,0,1971
319000,3,1,960,8556,1,0,1971
227000,4,1,1120,8763,1,0,1971
216500,3,1,1020,11652,1,0,1971
240000,3,1,1600,12566,1,0,1971
325000,3,2,1260,5612,1,0,1972
505000,3,2,1260,5460,1,0,1972
397500,3,2,1510,6710,1,0,1972
288349,3,1,1250,18616,1,0,1972
270000,3,1,1240,14110,1,0,1972
245000,3,2,1450,9333,2,0,1972
343000,3,1,1120,7250,1,0,1972
443500,3,2,1920,7598,1,0,1972
368000,4,2,2500,36900,1,0,1972
310000,3,1,1990,7173,1,0,1972
900000,5,3,4350,37169,2,0,1972
320000,3,2,1820,17600,1,0,1972
299950,3,1,1030,9916,1,0,1972
435000,4,2,1650,4745,1,0,1972
489000,3,2,1510,3000,1,0,1972
242000,3,1,970,9600,1,0,1972
570000,4,2,1790,7800,1,0,1972
265000,4,2,1600,10160,1,0,1972
599000,4,2,3410,15143,2,0,1972
332500,4,2,1440,4855,2,0,1972
215000,3,1,1010,10125,1,0,1972
725000,6,3,2480,12000,2,0,1972
330000,3,1,1040,11900,1,0,1972
275000,4,2,1960,30480,1,0,1972
500000,4,2,2100,12620,1,0,1972
290000,3,1,1010,10800,1,0,1972
195000,2,1,1080,3899,1,0,1972
329000,4,1,1120,3844,1,0,1972
495000,3,2,1460,9759,1,0,1972
251000,4,2,1650,5974,1,0,1972
255000,3,1,1710,12000,1,0,1972
635000,4,3,2100,3800,2,0,1972
222500,3,1,990,10125,1,0,1972
550000,3,1,960,12527,1,0,1972
201000,3,1,1220,22443,1,0,1972
255000,3,1,1250,9472,1,0,1972
390000,3,2,1840,16815,1,0,1972
375000,3,1,1310,8400,1,0,1972
436000,4,2,1600,15044,1,0,1972
172500,3,1,1140,8800,1,0,1972
339300,3,2,970,10000,1,0,1972
304000,3,1,900,7500,1,0,1972
340000,4,1,1200,11834,1,1,1972
424000,3,2,1670,7700,1,0,1972
162950,2,1,950,2784,1,0,1972
386100,3,2,1270,6760,1,0,1972
665000,6,3,2480,9720,2,0,1972
344950,3,1,1090,6712,1,0,1972
345000,3,1,960,3844,1,0,1972
849950,3,3,2990,9773,2,0,1973
241000,3,1,1010,9611,1,0,1973
220000,3,1,1660,21514,1,0,1973
524000,4,1,1980,7015,1,0,1973
434000,4,3,2010,8171,2,0,1973
430000,3,2,1510,7066,1,0,1973
895000,5,3,2876,13927,1,0,1973
589950,5,3,2790,19439,1,0,1973
253000,4,2,1910,7826,1,0,1973
250000,3,1,930,6060,1,0,1973
275000,3,1,1230,171190,1,0,1973
295000,4,2,1810,42981,1,0,1973
650100,2,1,1750,60872,1,0,1973
90000,2,1,790,2640,1,0,1973
545000,3,2,1900,9975,1,0,1973
310000,3,1,1010,9945,1,0,1973
285000,3,1,1090,8640,1,0,1973
350000,3,1,860,7030,1,0,1973
182500,2,1,1040,13920,1,0,1973
670000,5,3,2520,13001,2,0,1973
233000,3,2,1400,9177,1,0,1974
299000,3,1,1510,142803,1,0,1974
550000,4,3,2760,13113,1,0,1974
200000,4,2,2090,6630,1,0,1974
318500,4,2,1780,7350,1,0,1974
665000,3,2,1740,41275,1,0,1974
305000,4,2,1800,13551,1,0,1974
255000,2,2,1360,5433,1,0,1974
595000,4,2,3090,87120,1,0,1974
305100,3,2,1590,35988,1,0,1974
225000,4,2,1750,7245,1,0,1974
245000,3,2,1470,8000,1,0,1974
500000,3,1,1440,54315,1,0,1974
280000,4,1,1880,6288,1,0,1974
470000,4,2,2410,4680,2,0,1974
360500,3,1,970,6180,1,0,1974
510000,4,2,2990,102366,1,0,1974
234950,3,2,1510,9153,1,0,1974
290000,4,3,2390,4500,2,0,1974
260000,4,2,1480,8625,1,0,1974
325000,2,1,1400,10800,1,0,1974
760000,4,3,2840,13554,1,0,1974
324950,3,2,1340,9750,1,0,1974
399000,3,1,1340,7191,1,0,1974
382000,2,2,1350,2560,1,0,1974
270000,3,1,1010,14510,1,0,1974
420000,3,2,2020,38332,1,0,1975
795000,3,2,2920,13650,1,0,1975
850000,4,3,2720,183823,2,0,1975
475000,3,1,1250,150117,1,0,1975
260000,4,2,1620,7992,2,0,1975
562000,3,3,3290,80471,2,0,1975
405000,3,1,1250,7280,1,0,1975
340000,3,1,1010,7500,1,0,1975
285000,2,1,1010,7200,1,0,1975
200000,4,2,1900,8160,1,0,1975
